Epoch:1060 -test_loss:0.1878 -test_mAP:0.2212 -test_mAcc:0.4553 -loss:0.1876 -acc:0.6698
Epoch:1080 -test_loss:0.1874 -test_mAP:0.2196 -test_mAcc:0.4211 -loss:0.1880 -acc:0.6656
Epoch:1100 -test_loss:0.1876 -test_mAP:0.2223 -test_mAcc:0.4987 -loss:0.1857 -acc:0.6682
Epoch:1120 -test_loss:0.1871 -test_mAP:0.2240 -test_mAcc:0.5031 -loss:0.1863 -acc:0.6795
Epoch:1140 -test_loss:0.1868 -test_mAP:0.2242 -test_mAcc:0.5252 -loss:0.1850 -acc:0.6793
Epoch:1160 -test_loss:0.1871 -test_mAP:0.2239 -test_mAcc:0.4648 -loss:0.1858 -acc:0.6886
Epoch:1180 -test_loss:0.1865 -test_mAP:0.2250 -test_mAcc:0.5348 -loss:0.1864 -acc:0.6566
Epoch:1200 -test_loss:0.1871 -test_mAP:0.2219 -test_mAcc:0.4488 -loss:0.1844 -acc:0.6718
Epoch:1220 -test_loss:0.1866 -test_mAP:0.2280 -test_mAcc:0.4979 -loss:0.1863 -acc:0.6666
Epoch:1240 -test_loss:0.1864 -test_mAP:0.2266 -test_mAcc:0.5407 -loss:0.1834 -acc:0.6824
Epoch:1260 -test_loss:0.1866 -test_mAP:0.2269 -test_mAcc:0.4871 -loss:0.1843 -acc:0.6653
Epoch:1280 -test_loss:0.1866 -test_mAP:0.2272 -test_mAcc:0.5155 -loss:0.1851 -acc:0.6766
Epoch:1300 -test_loss:0.1864 -test_mAP:0.2283 -test_mAcc:0.4855 -loss:0.1853 -acc:0.6710
Epoch:1320 -test_loss:0.1864 -test_mAP:0.2282 -test_mAcc:0.4521 -loss:0.1836 -acc:0.6777
Epoch:1340 -test_loss:0.1865 -test_mAP:0.2252 -test_mAcc:0.4329 -loss:0.1835 -acc:0.6771
Epoch:1360 -test_loss:0.1867 -test_mAP:0.2278 -test_mAcc:0.4412 -loss:0.1833 -acc:0.6852
Epoch:1380 -test_loss:0.1859 -test_mAP:0.2295 -test_mAcc:0.5013 -loss:0.1846 -acc:0.6704
Epoch:1400 -test_loss:0.1866 -test_mAP:0.2281 -test_mAcc:0.5179 -loss:0.1840 -acc:0.6731
Epoch:1420 -test_loss:0.1867 -test_mAP:0.2283 -test_mAcc:0.5276 -loss:0.1829 -acc:0.6752
Epoch:1440 -test_loss:0.1862 -test_mAP:0.2275 -test_mAcc:0.5705 -loss:0.1836 -acc:0.6867
Epoch:1460 -test_loss:0.1856 -test_mAP:0.2300 -test_mAcc:0.4621 -loss:0.1829 -acc:0.6712
Epoch:1480 -test_loss:0.1856 -test_mAP:0.2294 -test_mAcc:0.5667 -loss:0.1826 -acc:0.6838
Epoch:1500 -test_loss:0.1856 -test_mAP:0.2311 -test_mAcc:0.4653 -loss:0.1827 -acc:0.6793
Epoch:1520 -test_loss:0.1851 -test_mAP:0.2321 -test_mAcc:0.4652 -loss:0.1815 -acc:0.6990
Epoch:1540 -test_loss:0.1852 -test_mAP:0.2324 -test_mAcc:0.5010 -loss:0.1808 -acc:0.6876
Epoch:1560 -test_loss:0.1856 -test_mAP:0.2317 -test_mAcc:0.5036 -loss:0.1811 -acc:0.7059
Epoch:1580 -test_loss:0.1859 -test_mAP:0.2299 -test_mAcc:0.4780 -loss:0.1810 -acc:0.6985
Epoch:1600 -test_loss:0.1853 -test_mAP:0.2317 -test_mAcc:0.5022 -loss:0.1815 -acc:0.6887
Epoch:1620 -test_loss:0.1848 -test_mAP:0.2323 -test_mAcc:0.5045 -loss:0.1813 -acc:0.6857
Epoch:1640 -test_loss:0.1855 -test_mAP:0.2342 -test_mAcc:0.5137 -loss:0.1795 -acc:0.6917
Epoch:1660 -test_loss:0.1854 -test_mAP:0.2350 -test_mAcc:0.5025 -loss:0.1794 -acc:0.6896
Epoch:1680 -test_loss:0.1852 -test_mAP:0.2343 -test_mAcc:0.4913 -loss:0.1801 -acc:0.6857
Epoch:1700 -test_loss:0.1850 -test_mAP:0.2345 -test_mAcc:0.5029 -loss:0.1795 -acc:0.6953
Epoch:1720 -test_loss:0.1849 -test_mAP:0.2369 -test_mAcc:0.5042 -loss:0.1801 -acc:0.6879
Epoch:1740 -test_loss:0.1859 -test_mAP:0.2323 -test_mAcc:0.5364 -loss:0.1788 -acc:0.6929
Epoch:1760 -test_loss:0.1846 -test_mAP:0.2333 -test_mAcc:0.5085 -loss:0.1786 -acc:0.6916
Epoch:1780 -test_loss:0.1854 -test_mAP:0.2330 -test_mAcc:0.5207 -loss:0.1790 -acc:0.6922
Epoch:1800 -test_loss:0.1858 -test_mAP:0.2328 -test_mAcc:0.5497 -loss:0.1785 -acc:0.6921
Epoch:1820 -test_loss:0.1842 -test_mAP:0.2406 -test_mAcc:0.5400 -loss:0.1789 -acc:0.6900
Epoch:1840 -test_loss:0.1847 -test_mAP:0.2331 -test_mAcc:0.5309 -loss:0.1784 -acc:0.6943
Epoch:1860 -test_loss:0.1842 -test_mAP:0.2353 -test_mAcc:0.5130 -loss:0.1788 -acc:0.6987
Epoch:1880 -test_loss:0.1844 -test_mAP:0.2345 -test_mAcc:0.5540 -loss:0.1776 -acc:0.6980
Epoch:1900 -test_loss:0.1845 -test_mAP:0.2335 -test_mAcc:0.5092 -loss:0.1790 -acc:0.6731
Epoch:1920 -test_loss:0.1856 -test_mAP:0.2316 -test_mAcc:0.4957 -loss:0.1781 -acc:0.7003
Epoch:1940 -test_loss:0.1849 -test_mAP:0.2361 -test_mAcc:0.5184 -loss:0.1775 -acc:0.7010
Epoch:1960 -test_loss:0.1848 -test_mAP:0.2345 -test_mAcc:0.5260 -loss:0.1782 -acc:0.6968
Epoch:1980 -test_loss:0.1844 -test_mAP:0.2359 -test_mAcc:0.5384 -loss:0.1772 -acc:0.6922
Epoch:2000 -test_loss:0.1841 -test_mAP:0.2364 -test_mAcc:0.5138 -loss:0.1767 -acc:0.6995
